Topic,Raw Count,Appearance Percentage
 boot shoe boot shoe leather,29,72.5
 text image extracted text image,24,60.0
 miners coal mining mines,12,30.0
 food land agricultural prices,10,25.0
 houses housing building house,9,22.5
 women womens girls womens branch,9,22.5
 tuberculosis health treatment medical,8,20.0
 women womens girls men,7,17.5
 trade bad trade bad month,6,15.0
 trade bad trade bad quiet,6,15.0
 shoe boot boot shoe leather,6,15.0
 conference resolution council delegates,6,15.0
 tuberculosis health treatment disease,6,15.0
 health tuberculosis treatment medical,5,12.5
 education teachers educational schools,5,12.5
 food agricultural land prices,5,12.5
 union labour unions trade,5,12.5
 houses housing building rent,5,12.5
 tuberculosis health treatment minister health,4,10.0
 death sympathy bleakley mr,4,10.0
 cent increase year decrease,4,10.0
 cent increase pairs year,4,10.0
 cost living living cost cent,4,10.0
 russia league russian nations,4,10.0
 union labour unions employers,4,10.0
 russia russian german germany,3,7.5
 war government policy russia,3,7.5
 tuberculosis health treatment ministry health,3,7.5
 cent increase year pairs,3,7.5
 daily herald daily herald herald daily,3,7.5
 houses housing land agricultural,3,7.5
 mr leicester street london,3,7.5
 herald daily daily herald paper,3,7.5
 women girls men womens,3,7.5
 mr hm smith richards,3,7.5
 holiday insurance superannuation pensions,3,7.5
 mr hm smith poulton,3,7.5
 trade improvement bad trade bad,3,7.5
 women womens girls leicester womens,3,7.5
 houses housing house building,3,7.5
 report reports inspectors inspection,3,7.5
 education teachers educational school,3,7.5
 cent increase year compared,3,7.5
 hm dead females mr,3,7.5
 rule delete line rule line,3,7.5
 branch branches returns central office,3,7.5
 arbitration strike defendant suspension,3,7.5
 education educational teachers school,2,5.0
 league russia nations league nations,2,5.0
 mr poulton commons house commons,2,5.0
 miners coal agricultural land,2,5.0
 insurance fund superannuation pensions,2,5.0
 government policy movement war,2,5.0
 trade trade board board rates,2,5.0
 street leicester road london,2,5.0
 arbitration defendant court suspension,2,5.0
 rates cost living prices cost,2,5.0
 scheme statements errors creep errors,2,5.0
 education educational teachers schools,2,5.0
 unemployment employers employment wages,2,5.0
 trade trade board bad board,2,5.0
 union labour trade workers,2,5.0
 insurance superannuation pensions compensation,2,5.0
 union unions trade labour,2,5.0
 houses housing room rent,2,5.0
 women girls womens men,2,5.0
 trade bad trade bad plymouth,2,5.0
 daily herald daily herald report,2,5.0
 hm dead females tf,2,5.0
 hours holiday hour holidays,2,5.0
 firm manufacturers firms shop,2,5.0
 conference resolution council committee,2,5.0
 women womens leicester girls,2,5.0
 arbitration strike defendant case,2,5.0
 women womens men girls,2,5.0
 cent increase year figures,2,5.0
 education teachers school schools,2,5.0
 houses housing rent room,2,5.0
 arbitration strike defendant court,2,5.0
 street london road kettering,2,5.0
 members branch branches secretary,2,5.0
 hm mr dead death,2,5.0
 conference party labour council,2,5.0
 cost living cost living rates,2,5.0
 arbitration defendant suspension suspended,2,5.0
 war government policy movement,2,5.0
 street london leicester road,2,5.0
 party labour labour party house,2,5.0
 boot shoe boot shoe shoe operatives,2,5.0
 branch branches secretary general,2,5.0
 firm manufacturers firms operative,2,5.0
 houses land housing rent,2,5.0
 cent year increase improvement,2,5.0
 tuberculosis treatment disease doctor,2,5.0
 report reports inspectors reports exclusively,2,5.0
 operatives short time short time,2,5.0
 league nations league nations russia,2,5.0
 firm firms manufacturers trade board,2,5.0
 holiday hours week hour,2,5.0
 street road london metro,2,5.0
 union unions labour trade,2,5.0
 holiday insurance fund superannuation,2,5.0
 trade employment bad trade board,2,5.0
 war russia nations league,1,2.5
 men movement hope future,1,2.5
 insurance fund benefit unemployment,1,2.5
 union unions employers trade,1,2.5
 members membership jubilee happy,1,2.5
 hours hour day hour day,1,2.5
 members meeting membership meetings,1,2.5
 war men peace rely,1,2.5
 fund funds arrears dividend,1,2.5
 trade firm prices trade board,1,2.5
 war members peace membership,1,2.5
 members operatives membership suspended,1,2.5
 party labour labour party government,1,2.5
 agreement convention scheme settlement,1,2.5
 miners industry coal mining,1,2.5
 health tuberculosis treatment disease,1,2.5
 trade trade board board trade boards,1,2.5
 arbitration defendant court defendants,1,2.5
 holiday hours week holidays,1,2.5
 work said good thanks,1,2.5
 labour union unemployment shoe,1,2.5
 mr street leicester london,1,2.5
 firm manufacturers firms industry,1,2.5
 mr street leicester smith,1,2.5
 trade employment improvement bad,1,2.5
 holiday holidays th holiday scheme,1,2.5
 houses housing rent house,1,2.5
 russia russian germany geneva,1,2.5
 members stamp stamped membership,1,2.5
 conference party labour branch,1,2.5
 union women labour trade,1,2.5
 mr leicester london street,1,2.5
 wages rates minimum cost living,1,2.5
 unemployment insurance employment unemployed,1,2.5
 men men rely position rely,1,2.5
 movement land agricultural communists,1,2.5
 defendant court umpire stoppage,1,2.5
 labour conference party mr,1,2.5
 branch operatives secretary branches,1,2.5
 street leicester london mr,1,2.5
 prices food firm manufacturers,1,2.5
 conference council resolution committee,1,2.5
 returns insurance benefit superannuation,1,2.5
 government policy men rely war,1,2.5
 trade trade board board food,1,2.5
 death sympathy widow died,1,2.5
 holiday month holidays th,1,2.5
 operatives seamen war orders,1,2.5
 cost living living cost rates,1,2.5
 britain great britain ireland countries,1,2.5
 conference branch council arbitration,1,2.5
 unemployment employers insurance wages,1,2.5
 union unemployment employers workers,1,2.5
 branch operatives members branches,1,2.5
 houses housing district building,1,2.5
 street road leicester norwich,1,2.5
 cent increase cost living year,1,2.5
 hours week hour day,1,2.5
 insurance health health insurance national health,1,2.5
 remain fraternally fraternally president general president,1,2.5
 labour union unemployment trade,1,2.5
 council committee conference chairman,1,2.5
 insurance rates fund pensions,1,2.5
 trade bad state trade goods,1,2.5
 war russia russian german,1,2.5
 holiday insurance superannuation scheme,1,2.5
 land agricultural emigration food,1,2.5
 man work branch said,1,2.5
 branch branches stamp central office,1,2.5
 union labour unions conference,1,2.5
 mr street leicester hm,1,2.5
 trade firm board trade board,1,2.5
 fund insurance superannuation pensions,1,2.5
 statements scheme position hope,1,2.5
 branch branches operatives general,1,2.5
 cent food cost living increase,1,2.5
 war russia russian peace,1,2.5
 manufacturers repairers repairing machine,1,2.5
 cost living cent living increase,1,2.5
 russia league germany russian,1,2.5
 arrears dividend funds balance,1,2.5
 report reports inspectors complaints,1,2.5
 union unions trade trade union,1,2.5
 unemployment employers labour international labour,1,2.5
 mr street poulton leicester,1,2.5
 arbitration agreement defendant agreements,1,2.5
 branch branches secretary operatives,1,2.5
 war peace hope future,1,2.5
 rates prices fund dividend,1,2.5
 league federation league nations nations,1,2.5
 man work wife week,1,2.5
 union trade unions employers,1,2.5
 th month day month latest,1,2.5
 daily herald daily herald paper,1,2.5
 repairing repairers department accident,1,2.5
 union trade unions unemployment,1,2.5
 mr hm street smith,1,2.5
 men hope time rely,1,2.5
 houses food housing land,1,2.5
 firm members manufacturers firms,1,2.5
 insurance superannuation pensions scheme,1,2.5
 party labour party labour house,1,2.5
 houses housing room rooms,1,2.5
 th february month march,1,2.5
 improvement slight worse slight improvement,1,2.5
 operatives seamen operative discharged,1,2.5
 operatives seamen ship service men,1,2.5
 insurance benefit fund unemployment,1,2.5
 trade bad improvement month,1,2.5
 cost living cost prices rates,1,2.5
 man work did speech,1,2.5
 houses housing rent building,1,2.5
 education school teachers schools,1,2.5
 operatives war service officers,1,2.5
