,Topic,Raw Count
0, miners firm firms coal,2
1, leicester street mr hm,2
2, miners district trade employment,2
3, war nations government policy,2
4, operatives war discharged boot,2
5, inspectors organisers reluctantly returned inspection,2
6, mr said speech honour,2
7, improvement time short time progress,2
8, movement government policy war,2
9, insurance benefit fund sick,2
10, london street mr hm,2
11, unemployment union labour employers,2
12, trade firm firms board,2
13, women womens labour girls,2
14, education teachers educational schools,2
15, tuberculosis health treatment minister health,2
16, education educational teachers schools,2
17, herald daily daily herald herald daily,2
18, houses housing building rent,2
19, hm dead females mr,2
20, trade bad trade bad month,2
21, cent increase year pairs,2
22, hm dead females tf,2
23, rule delete line rule line,2
24, women girls womens men,2
25, mr leicester street london,2
26, war government policy peace,2
27, russia russian german germany,2
28, tuberculosis health treatment ministry health,2
29, houses housing house building,2
30, branch branches returns central office,2
31, mr street leicester london,2
32, trade bad trade bad improvement,2
33, women womens girls labour,2
34, education teachers school schools,2
35, houses housing rent room,2
36, arbitration defendant suspension suspended,2
37, holiday holidays th holiday scheme,2
38, branch operatives branches officers,2
39, herald daily daily herald paper,2
40, women womens men girls,2
41, trade trade board board bad,2
42, trade improvement bad trade bad,2
43, war government policy movement,2
44, mr hm smith poulton,2
45, conference party labour labour party,2
46, union unions trade labour,2
47, insurance fund superannuation pensions,2
48, cent increase pairs year,2
49, firm firms manufacturers industry,2
50, union labour unions trade,2
51, tuberculosis health medical treatment,2
52, houses housing rent building,2
53, daily herald daily herald herald daily,2
54, russia league russian nations,2
55, houses housing house rent,2
56, conference resolution council delegates,2
57, cost living cost living rates,2
58, insurance superannuation pensions fund,2
59, education teachers schools school,2
60, cent increase year figures,2
61, education school teachers educational,2
62, ireland scotland irish scottish,2
63, houses housing room rooms,2
64, arbitration strike defendant suspension,2
65, education teachers educational school,2
66, war nations russia league,2
67, insurance superannuation pensions compensation,2
68, hours hour day hour day,2
69, education school educational schools,2
70, holiday insurance superannuation pensions,2
71, arbitration strike defendant court,2
72, food prices sugar average,2
73, mr street london leicester,2
74, cent cost living living cost,2
75, hm mr dead females,2
76, women womens men womens branch,2
77, street london road metro,2
78, union conference labour unions,2
79, street leicester road london,2
80, trade bad improvement employment,2
81, union labour conference unions,2
82, members membership happy shall happy,2
83, death sympathy bleakley mr,2
84, street london road street london,2
85, death sympathy widow family,2
