,hdb_clusters,min_topic_size,n_neighbors,error_size,error_size_rank,size_diff,size_diff_rank,combined_score
20,35,40,5,53746,21.0,6832,7.0,28.0
27,45,50,10,54417,28.0,6558,4.0,32.0
34,35,10,5,55028,35.0,5900,1.0,36.0
25,50,40,5,54268,26.0,7287,13.0,39.0
41,35,25,5,55465,42.0,6143,2.0,44.0
35,45,50,5,55054,36.0,8411,29.0,65.0
51,25,50,5,55960,52.0,7813,18.0,70.0
63,40,15,5,57155,64.0,6803,6.0,70.0
39,40,15,10,55433,40.0,8524,33.0,73.0
12,20,45,5,53077,13.0,9825,60.0,73.0
31,40,50,10,54809,32.0,9121,44.0,76.0
38,50,25,5,55169,39.0,8704,37.0,76.0
53,50,15,10,56104,54.0,8106,23.0,77.0
75,40,50,5,57446,76.0,6529,3.0,79.0
40,45,45,5,55462,41.0,8814,40.0,81.0
26,25,35,5,54390,27.0,10018,66.0,93.0
78,30,40,10,57559,79.0,7912,19.0,98.0
88,50,50,10,58076,89.0,7121,11.0,100.0
80,50,40,10,57572,81.0,8090,20.0,101.0
70,50,10,5,57275,71.0,8482,32.0,103.0
73,35,50,5,57409,74.0,8463,31.0,105.0
33,30,10,5,55016,34.0,10259,73.0,107.0
48,35,20,5,55807,49.0,9848,62.0,111.0
47,45,20,5,55766,48.0,10017,65.0,113.0
77,30,30,10,57551,78.0,8569,35.0,113.0
103,50,45,5,58701,104.0,7056,10.0,114.0
62,45,35,10,56955,63.0,9506,53.0,116.0
89,45,25,10,58118,90.0,8265,27.0,117.0
86,30,15,10,58018,87.0,8722,38.0,125.0
111,50,20,5,59258,112.0,7313,14.0,126.0
71,35,15,10,57351,72.0,9735,57.0,129.0
11,25,20,5,52735,12.0,12041,121.0,133.0
106,45,45,10,58820,107.0,8242,26.0,133.0
97,35,50,15,58332,98.0,8699,36.0,134.0
58,35,35,10,56273,59.0,10454,76.0,135.0
79,35,15,5,57562,80.0,9545,55.0,135.0
64,45,40,10,57167,65.0,10234,72.0,137.0
66,35,25,10,57235,67.0,10166,70.0,137.0
112,35,35,15,59275,113.0,8203,25.0,138.0
36,30,50,5,55092,37.0,11406,103.0,140.0
8,25,10,5,51940,9.0,12488,132.0,141.0
95,45,10,5,58290,96.0,9179,45.0,141.0
17,35,35,5,53632,18.0,12194,124.0,142.0
85,45,15,10,57937,86.0,9763,59.0,145.0
46,40,10,5,55737,47.0,11319,99.0,146.0
81,30,20,5,57620,82.0,9976,64.0,146.0
68,35,45,5,57255,69.0,10463,78.0,147.0
144,40,45,15,60903,145.0,6705,5.0,150.0
45,30,45,10,55675,46.0,11425,105.0,151.0
13,20,30,5,53242,14.0,12816,137.0,151.0
83,35,30,10,57831,84.0,10054,68.0,152.0
101,30,10,10,58516,102.0,9384,50.0,152.0
61,45,35,5,56842,62.0,10951,92.0,154.0
10,25,25,5,52368,11.0,13315,143.0,154.0
67,40,40,5,57250,68.0,10869,88.0,156.0
49,40,45,5,55815,50.0,11485,108.0,158.0
122,50,45,15,59898,123.0,8792,39.0,162.0
138,30,25,15,60615,139.0,8196,24.0,163.0
54,20,20,5,56175,55.0,11561,109.0,164.0
21,40,20,5,53803,22.0,13306,142.0,164.0
143,40,30,15,60837,144.0,8102,22.0,166.0
55,45,10,10,56198,56.0,11581,112.0,168.0
109,40,30,10,59123,110.0,9758,58.0,168.0
72,35,20,10,57369,73.0,11062,96.0,169.0
7,15,30,5,51932,8.0,14818,162.0,170.0
19,30,30,5,53738,20.0,13728,150.0,170.0
16,25,45,5,53575,17.0,14032,153.0,170.0
156,50,30,10,61255,157.0,7455,15.0,172.0
56,45,30,5,56208,57.0,11783,116.0,173.0
9,20,40,5,52305,10.0,15031,165.0,175.0
28,30,15,5,54424,29.0,13570,146.0,175.0
125,15,25,10,60131,126.0,9448,51.0,177.0
142,40,25,15,60793,143.0,8539,34.0,177.0
92,35,10,10,58214,93.0,10747,85.0,178.0
42,40,25,5,55474,43.0,12741,136.0,179.0
6,20,25,5,51858,7.0,15942,173.0,180.0
65,30,40,5,57183,66.0,11705,115.0,181.0
57,40,35,5,56241,58.0,12126,123.0,181.0
132,15,45,10,60374,133.0,9284,48.0,181.0
91,40,10,10,58185,92.0,10947,91.0,183.0
173,25,35,15,62384,174.0,6983,9.0,183.0
140,40,50,15,60744,141.0,8929,43.0,184.0
167,45,50,15,61870,168.0,7488,16.0,184.0
23,15,40,5,53998,24.0,14809,161.0,185.0
30,30,25,5,54638,31.0,14062,154.0,185.0
98,25,30,15,58348,99.0,10841,87.0,186.0
14,15,10,5,53438,15.0,15788,171.0,186.0
52,25,30,5,56014,53.0,12628,133.0,186.0
139,35,15,15,60702,140.0,9259,47.0,187.0
133,30,35,5,60462,134.0,9510,54.0,188.0
5,10,35,5,50582,6.0,17647,184.0,190.0
100,50,35,10,58471,101.0,10878,89.0,190.0
2,10,15,5,49438,3.0,18365,189.0,192.0
4,10,10,5,50378,5.0,18005,187.0,192.0
151,30,35,15,61136,152.0,8851,41.0,193.0
29,15,35,5,54615,30.0,15081,166.0,196.0
3,10,45,5,50069,4.0,18834,192.0,196.0
134,35,50,10,60485,135.0,9837,61.0,196.0
37,30,50,10,55122,38.0,14633,159.0,197.0
44,35,30,5,55658,45.0,13978,152.0,197.0
32,30,45,5,54843,33.0,14950,164.0,197.0
181,30,30,15,62921,182.0,7690,17.0,199.0
1,10,50,5,49437,2.0,22053,198.0,200.0
24,20,50,5,54196,25.0,16505,175.0,200.0
158,40,35,15,61543,159.0,8917,42.0,201.0
172,20,50,15,62337,173.0,8354,28.0,201.0
18,20,10,5,53646,19.0,17165,182.0,201.0
74,10,40,10,57424,75.0,12414,128.0,203.0
0,10,30,5,48889,1.0,25424,202.0,203.0
59,30,20,10,56415,60.0,13376,144.0,204.0
127,45,25,15,60234,128.0,10460,77.0,205.0
192,50,15,15,63454,193.0,7159,12.0,205.0
