,Error_Size,Topic_20_Size,Gini_Score,Stability_Score,Keyword_Freq_Score
0,52761,511,0.597926656830198,1146,0.18
1,41846,117,0.7624857139188166,884,0.15
2,49121,363,0.6095845042151746,1059,0.17
3,41846,117,0.7624857139188166,884,0.15
4,41846,117,0.7624857139188166,884,0.15
5,41846,117,0.7624857139188166,884,0.15
6,49121,363,0.6095845042151746,1059,0.17
7,41846,117,0.7624857139188166,884,0.15
8,41846,117,0.7624857139188166,884,0.15
9,52761,511,0.597926656830198,1146,0.18
10,41846,117,0.7624857139188166,884,0.15
11,52761,511,0.597926656830198,1146,0.18
12,49121,363,0.6095845042151746,1059,0.17
13,41846,117,0.7624857139188166,884,0.15
14,49121,363,0.6095845042151746,1059,0.17
15,52761,511,0.597926656830198,1146,0.18
16,49121,363,0.6095845042151746,1059,0.17
17,49121,363,0.6095845042151746,1059,0.17
18,52761,511,0.597926656830198,1146,0.18
19,41846,117,0.7624857139188166,884,0.15
20,49121,363,0.6095845042151746,1059,0.17
21,49121,363,0.6095845042151746,1059,0.17
22,52761,511,0.597926656830198,1146,0.18
23,53469,575,0.5651249397459222,1118,0.19
24,53469,575,0.5651249397459222,1118,0.19
25,41846,117,0.7624857139188166,884,0.15
26,52761,511,0.597926656830198,1146,0.18
27,52761,511,0.597926656830198,1146,0.18
28,41846,117,0.7624857139188166,884,0.15
29,52761,511,0.597926656830198,1146,0.18
30,41846,117,0.7624857139188166,884,0.15
0,55288,566,0.5398038834636998,229,0.18
1,52821,599,0.574260501344543,254,0.19
2,52821,599,0.574260501344543,254,0.19
3,42117,200,0.739821955385332,199,0.16
4,42117,200,0.739821955385332,199,0.16
5,42117,200,0.739821955385332,199,0.16
6,50933,414,0.6660514615736843,206,0.17
7,55288,566,0.5398038834636998,229,0.18
8,52821,599,0.574260501344543,254,0.19
9,42117,200,0.739821955385332,199,0.16
10,55288,566,0.5398038834636998,229,0.18
11,52821,599,0.574260501344543,254,0.19
12,55288,566,0.5398038834636998,229,0.18
13,55288,566,0.5398038834636998,229,0.18
14,42117,200,0.739821955385332,199,0.16
15,42117,200,0.739821955385332,199,0.16
16,55288,566,0.5398038834636998,229,0.18
17,42117,200,0.739821955385332,199,0.16
18,55288,566,0.5398038834636998,229,0.18
